FULL NAME,TEAM,AGE,DATE OF BIRTH,HEIGHT,WEIGHT,TEAM,NATIONALITY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Elijah Hughes,POR,23,5-Jun,77,215,Syracuse,USA,2020,2,39,17,2.9,1.5,0.5,-19.5,0.027,0.121,0.166,0.46,0.088
Emanuel Terry,PHX,25,9-Jun,81,220,Lincoln Memorial,USA,Undrafted,Undrafted,Undrafted,3,0,5,0.7,-50.3,0.286,0.389,0.189,0,0.222
Emmanuel Mudiay,SAC,25,3-Jun,75,200,None,Democratic Republic of the Congo,2015,1,7,2,1.5,0,2,-23.7,0,0,0.192,0.399,0.571
Enes Freedom,BOS,29,10-Jun,82,250,None,Turkey,2011,1,3,35,3.7,4.6,0.2,7.8,0.143,0.219,0.129,0.585,0.027
Eric Bledsoe,POR,32,1-Jun,73,214,Kentucky,USA,2010,1,18,54,9.9,3.4,4.2,-1.2,0.02,0.105,0.198,0.514,0.251
Eric Gordon,HOU,33,3-Jun,75,215,Indiana,USA,2008,1,7,47,14.3,2,3,-5.9,0.01,0.056,0.189,0.616,0.153
Eric Paschall,UTA,25,6-Jun,78,255,Villanova,USA,2019,2,41,44,5.9,2.1,0.6,2.7,0.044,0.105,0.17,0.62,0.071
Eugene Omoruyi,DAL,25,6-Jun,78,235,Oregon,Nigeria,Undrafted,Undrafted,Undrafted,4,1.8,1.8,0.5,11.9,0.111,0.278,0.156,0.518,0.167
Evan Fournier,NYK,29,6-Jun,78,205,None,France,2012,1,20,57,14.5,2.9,1.9,-4.1,0.017,0.079,0.206,0.558,0.101
Evan Mobley,CLE,20,11-Jun,83,215,Southern California,USA,2021,1,3,50,14.9,8.1,2.6,3.7,0.057,0.166,0.198,0.547,0.117
Facundo Campazzo,DEN,30,10-May,70,195,None,Argentina,Undrafted,Undrafted,Undrafted,54,6,1.9,3.7,-10.5,0.017,0.077,0.145,0.527,0.275
Frank Jackson,DET,23,3-Jun,75,205,Duke,USA,2017,2,31,43,10.9,1.6,1,-9.5,0.013,0.057,0.203,0.536,0.072
Frank Kaminsky,PHX,28,Jul-00,84,240,Wisconsin,USA,2015,1,9,9,10.6,4.6,1.4,9.6,0.06,0.144,0.185,0.635,0.105
Frank Ntilikina,DAL,23,4-Jun,76,200,None,France,2017,1,8,47,4.3,1.3,1.1,3.8,0.011,0.092,0.164,0.501,0.136
Franz Wagner,ORL,20,10-Jun,82,220,Michigan,Germany,2021,1,8,60,15.6,4.6,3,-6.7,0.031,0.106,0.208,0.557,0.149
Fred VanVleet,TOR,27,1-Jun,73,197,Wichita State,USA,Undrafted,Undrafted,Undrafted,50,21.6,4.6,7,4.1,0.019,0.1,0.236,0.572,0.279
Freddie Gillespie,ORL,24,9-Jun,81,245,Baylor,USA,Undrafted,Undrafted,Undrafted,9,2.3,4,0.6,-13.6,0.099,0.183,0.109,0.419,0.061
Furkan Korkmaz,PHI,24,7-Jun,79,202,None,Turkey,2016,1,26,51,8.9,3,2.3,0.6,0.013,0.108,0.172,0.512,0.137
Gabe Vincent,MIA,25,3-Jun,75,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,50,9.2,2,3.4,2.1,0.016,0.068,0.177,0.559,0.217
Gabriel Deck,OKC,27,6-Jun,78,231,None,Argentina,Undrafted,Undrafted,Undrafted,7,2.6,0.9,0.7,-13.6,0.017,0.077,0.119,0.643,0.147
Garrett Temple,NOP,35,5-Jun,77,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,55,5.4,2.5,1.3,-14.7,0.025,0.106,0.135,0.495,0.103
Garrison Mathews,HOU,25,5-Jun,77,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,41,11.4,3.4,1,-5.6,0.021,0.102,0.146,0.619,0.054
Gary Clark,NOP,27,6-Jun,78,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted,27,2.8,2.6,0.4,-3.3,0.053,0.178,0.108,0.532,0.05
Gary Harris,ORL,27,4-Jun,76,210,Michigan State,USA,2014,1,19,52,11.4,2.1,1.9,-8.2,0.02,0.05,0.16,0.569,0.098
Gary Payton II,GSW,29,3-Jun,75,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,56,6.8,3.5,0.8,8.6,0.058,0.141,0.141,0.683,0.071
Gary Trent Jr.,TOR,23,5-Jun,77,209,Duke,USA,2018,2,37,48,18.6,2.7,1.9,3.6,0.008,0.071,0.214,0.556,0.082
George Hill,MIL,35,4-Jun,76,188,Indiana-Purdue Indianapolis,USA,2008,1,26,41,7,3.2,2.5,14.2,0.032,0.084,0.117,0.564,0.127
George King,DAL,28,6-Jun,78,220,Colorado Boulder,USA,2018,2,59,4,0.3,1.3,0,-62.2,0,0.25,0.159,0.085,0
Georges Niang,PHI,28,7-Jun,79,230,Iowa State,USA,2016,2,50,54,9.4,2.7,1.5,4.8,0.017,0.093,0.165,0.582,0.095
Georgios Kalaitzakis,MIL,23,7-Jun,79,192,None,Greece,2021,2,60,9,1.8,0.9,0,-45.2,0.085,0.077,0.171,0.535,0
Giannis Antetokounmpo,MIL,27,11-Jun,83,242,None,Greece,2013,1,15,49,29.4,11.2,6,8.6,0.058,0.256,0.341,0.63,0.325
Goga Bitadze,IND,22,Jul-00,84,250,None,Georgia,2019,1,18,35,4.9,2.9,0.8,-1.1,0.109,0.13,0.195,0.507,0.095
Goran Dragic,TOR,35,3-Jun,75,190,None,Slovenia,2008,2,45,5,8,2.8,1.8,-11.5,0.019,0.148,0.172,0.521,0.18
Gordon Hayward,CHA,31,7-Jun,79,225,Butler,USA,2010,1,9,48,16.1,4.6,3.6,-0.2,0.022,0.114,0.202,0.571,0.158
Gorgui Dieng,ATL,32,10-Jun,82,248,Louisville,Senegal,2013,1,21,37,3.6,3,0.8,-6.5,0.092,0.235,0.16,0.619,0.148
Grant Williams,BOS,23,6-Jun,78,236,Tennessee,USA,2019,1,22,55,7.5,3.2,1.1,2.1,0.033,0.1,0.118,0.667,0.069
Grayson Allen,MIL,26,4-Jun,76,198,Duke,USA,2018,1,21,49,11.5,3.4,1.5,5,0.018,0.095,0.157,0.581,0.074
Greg Brown III,POR,20,7-Jun,79,206,Texas-Austin,USA,2021,2,43,28,3.3,2,0.3,-11.5,0.083,0.154,0.198,0.494,0.049
Greg Monroe,MIL,31,10-Jun,82,250,Georgetown,USA,2010,1,7,10,5.5,5.2,1.4,-0.1,0.132,0.187,0.156,0.548,0.14
Hamidou Diallo,DET,23,5-Jun,77,202,Kentucky,USA,2018,2,45,51,11.1,4.9,1.3,-8.2,0.049,0.161,0.208,0.538,0.094
Harrison Barnes,SAC,29,8-Jun,80,225,North Carolina,USA,2012,1,7,55,17,6.1,2.5,-7.6,0.032,0.147,0.19,0.625,0.106
Hassan Whiteside,UTA,32,Jul-00,84,265,Marshall,USA,2010,2,33,46,8.7,7.8,0.4,10.4,0.135,0.274,0.169,0.649,0.03
Hassani Gravett,ORL,25,2-Jun,74,187,South Carolina,USA,2019,,,8,6.3,2.6,2.5,-1.8,0.006,0.114,0.13,0.629,0.177
Haywood Highsmith,MIA,25,4-Jun,76,220,Wheeling Jesuit,USA,2018,,,6,3.7,1.5,0,-25,0.038,0.09,0.134,0.503,0
Herbert Jones,NOP,23,7-Jun,79,206,Alabama,USA,2021,2,35,56,9.6,3.9,2.1,1.5,0.043,0.086,0.134,0.591,0.099
Ignas Brazdeikis,ORL,23,6-Jun,78,221,Michigan,Canada,2019,2,47,28,2.8,1.3,0.8,-2.1,0.041,0.096,0.156,0.467,0.119
Immanuel Quickley,NYK,22,3-Jun,75,190,Kentucky,USA,2020,1,25,55,9.4,2.3,3,5.7,0.017,0.086,0.212,0.509,0.222
Isaac Bonga,TOR,22,8-Jun,80,180,None,Germany,2018,2,39,13,0.8,0.5,0.2,-25.6,0.044,0.039,0.106,0.352,0.071
Isaac Okoro,CLE,21,5-Jun,77,225,Auburn,USA,2020,1,5,43,9,3.1,1.9,4,0.037,0.069,0.134,0.572,0.089
Isaiah Hartenstein,LAC,23,Jul-00,84,250,None,Germany,2017,2,43,47,7.4,4.4,1.9,10,0.093,0.156,0.176,0.646,0.167
Isaiah Jackson,IND,20,10-Jun,82,205,Kentucky,USA,2021,1,22,20,5.8,2.8,0.4,-4,0.12,0.145,0.228,0.59,0.061
Isaiah Joe,PHI,22,4-Jun,76,165,Arkansas,USA,2020,2,49,41,3.8,1.1,0.7,-0.1,0.01,0.077,0.14,0.516,0.078
Isaiah Livers,DET,23,6-Jun,78,232,Michigan,USA,2021,2,42,1,0,0,0,-18.2,0,0,0.273,0,0
Isaiah Roby,OKC,24,8-Jun,80,230,Nebraska-Lincoln,USA,2019,2,45,22,7,3.7,0.7,-4.7,0.081,0.135,0.187,0.585,0.076
Isaiah Stewart,DET,20,8-Jun,80,250,Washington,USA,2020,1,16,50,8.3,8.4,1.1,-11.8,0.104,0.209,0.143,0.547,0.068
Isaiah Thomas,DAL,33,9-May,69,185,Washington,USA,2011,2,60,5,8.6,1.6,2,-10.6,0.008,0.052,0.201,0.415,0.128
Isaiah Todd,WAS,20,9-Jun,81,219,None,USA,2021,2,31,10,1.6,1,0.3,-0.1,0.041,0.205,0.231,0.407,0.143
Ish Smith,WAS,33,Jun-00,72,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,41,5.1,1.6,2.9,-6.4,0.022,0.083,0.186,0.462,0.298
Ish Wainright,PHX,27,5-Jun,77,250,Baylor,USA,Undrafted,Undrafted,Undrafted,29,1.9,1.3,0.3,6.9,0.077,0.076,0.127,0.442,0.063
Ivica Zubac,LAC,24,Jul-00,84,240,None,Croatia,2016,2,32,55,9.7,8,1.4,-6.5,0.108,0.218,0.155,0.681,0.086
JT Thor,CHA,19,9-Jun,81,203,Auburn,USA,2021,2,37,19,2.6,1.4,0.7,7.8,0.053,0.096,0.131,0.518,0.102
Ja Morant,MEM,22,3-Jun,75,174,Murray State,USA,2019,1,2,46,26.8,5.8,6.9,3.5,0.038,0.13,0.324,0.575,0.335
JaMychal Green,DEN,31,8-Jun,80,227,Alabama,USA,Undrafted,Undrafted,Undrafted,45,6.3,3.7,0.8,-7.1,0.064,0.189,0.189,0.56,0.091
JaQuori McLaughlin,DAL,24,4-Jun,76,190,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,4,0,0,0.5,-34.6,0,0,0.065,0,0.2
JaVale McGee,PHX,34,Jul-00,84,270,Nevada-Reno,USA,2008,1,18,52,9.9,6.9,0.6,8.7,0.14,0.265,0.221,0.674,0.061
Jabari Parker,BOS,26,7-Jun,79,245,Duke,USA,2014,1,2,12,4.4,2.3,0.5,-0.8,0.042,0.18,0.191,0.632,0.094
Jaden McDaniels,MIN,21,9-Jun,81,185,Washington,USA,2020,1,28,56,8.9,4.3,1.2,-0.6,0.04,0.112,0.146,0.532,0.065
Jaden Springer,PHI,19,4-Jun,76,202,Tennessee,USA,2021,1,28,2,1,1,0,-72.4,0.143,0.125,0.118,1,0
Jae Crowder,PHX,31,6-Jun,78,235,Marquette,USA,2012,2,34,48,8.9,5.3,1.5,10.5,0.018,0.158,0.14,0.535,0.067
Jae'Sean Tate,HOU,26,4-Jun,76,230,Ohio State,USA,Undrafted,Undrafted,Undrafted,56,12.6,5.6,3.1,-9.9,0.061,0.137,0.198,0.577,0.181
Jahmi'us Ramsey,SAC,20,3-Jun,75,190,Texas Tech,USA,2020,2,43,19,3.2,0.7,0.4,-6,0.027,0.068,0.208,0.468,0.075
Jaime Echenique,WAS,24,10-Jun,82,258,Wichita State,Colombia,Undrafted,Undrafted,Undrafted,1,0,0,0,-30,0,0,0,0,0
Jake Layman,MIN,27,8-Jun,80,209,Maryland,USA,2016,2,47,23,2,1,0.3,-14.5,0.021,0.112,0.143,0.438,0.06
Jakob Poeltl,SAS,26,1-Jul,85,245,Utah,Austria,2016,1,9,49,13.1,9.2,2.8,4.9,0.126,0.178,0.179,0.606,0.13
Jalen Brunson,DAL,25,1-Jun,73,190,Villanova,USA,2018,2,33,58,16.3,3.8,5.4,4.2,0.018,0.102,0.216,0.579,0.271
Jalen Green,HOU,20,4-Jun,76,186,None,USA,2021,1,2,43,14.6,3.1,2.3,-17.3,0.012,0.089,0.225,0.516,0.125
Jalen Johnson,ATL,20,8-Jun,80,219,Duke,USA,2021,1,20,14,1.8,1.1,0.1,-16.3,0,0.208,0.165,0.552,0.033
Jalen McDaniels,CHA,24,9-Jun,81,205,San Diego State,USA,2019,2,52,39,6.6,3.5,1.1,2.9,0.04,0.145,0.151,0.592,0.088
Jalen Smith,IND,21,10-Jun,82,215,Maryland,USA,2020,1,10,33,6.8,5,0.3,4.9,0.116,0.208,0.19,0.573,0.032
Jalen Suggs,ORL,20,5-Jun,77,205,Gonzaga,USA,2021,1,5,39,12.6,3.7,4.4,-7.9,0.021,0.101,0.247,0.462,0.244
James Bouknight,CHA,21,4-Jun,76,190,Connecticut,USA,2021,1,11,28,5,1.7,0.8,-5.8,0.063,0.084,0.225,0.468,0.12
James Ennis III,DEN,31,6-Jun,78,215,Cal State-Long Beach,USA,2013,2,50,7,4.1,1.7,0.4,0.9,0.086,0.121,0.206,0.553,0.081
James Harden,PHI,32,5-Jun,77,220,Arizona State,USA,2009,1,3,44,22.5,8,10.2,0.6,0.026,0.179,0.277,0.576,0.399
James Johnson,BKN,34,7-Jun,79,240,Wake Forest,USA,2009,1,16,43,5.9,3.6,2,-0.2,0.047,0.122,0.143,0.519,0.147
Jamorko Pickett,DET,24,9-Jun,81,206,Georgetown,USA,Undrafted,Undrafted,Undrafted,6,0.5,1.5,0.2,-24.1,0.039,0.167,0.109,0.15,0.033
Jared Butler,UTA,21,3-Jun,75,193,Baylor,USA,2021,2,40,28,3.4,0.8,1.2,-7.4,0.014,0.083,0.225,0.515,0.254
Jared Harper,NOP,24,10-May,70,175,Auburn,USA,Undrafted,Undrafted,Undrafted,2,3.5,0.5,1.5,0,0.1,0,0.364,0.5,0.6
Jaren Jackson Jr.,MEM,22,11-Jun,83,242,Michigan State,USA,2018,1,4,59,16.7,6,1.1,5.5,0.05,0.148,0.25,0.533,0.057
Jarred Vanderbilt,MIN,22,9-Jun,81,214,Kentucky,USA,2018,2,41,54,7.2,8.8,1.4,5.7,0.11,0.216,0.107,0.618,0.07
Jarrett Allen,CLE,23,10-Jun,82,243,Texas-Austin,USA,2017,1,22,50,16.2,11,1.8,4.1,0.114,0.211,0.179,0.688,0.086
Jarrett Culver,MEM,22,6-Jun,78,195,Texas Tech,USA,2019,1,6,27,3.8,1.4,1,5.5,0.035,0.111,0.191,0.481,0.142
Jarron Cumberland,POR,24,5-Jun,77,205,Cincinnati,USA,Undrafted,Undrafted,Undrafted,3,0.7,1,0.3,40.2,0.059,0.182,0.061,0.5,0.1
Javin DeLaurier,MIL,23,10-Jun,82,234,Duke,USA,Undrafted,Undrafted,Undrafted,1,0,1,0,57.1,0,0.25,0,0,0
Javonte Green,CHI,28,5-Jun,77,205,Radford,USA,Undrafted,Undrafted,Undrafted,42,7.6,4.4,1.1,5.2,0.069,0.113,0.118,0.641,0.057
Javonte Smart,MIA,22,4-Jun,76,205,Louisiana State,USA,Undrafted,Undrafted,Undrafted,13,2.4,1.5,1.1,-9.3,0.022,0.095,0.142,0.34,0.126
Jaxson Hayes,NOP,21,11-Jun,83,220,Texas-Austin,USA,2019,1,8,47,8.7,3.9,0.5,-4.6,0.083,0.147,0.171,0.7,0.049
Jay Huff,LAL,24,1-Jul,85,240,Virginia,USA,Undrafted,Undrafted,Undrafted,4,0,1,0.3,36.5,0.04,0.111,0.083,0,0.071
Jay Scrubb,LAC,21,5-Jun,77,220,John A. Logan,USA,2020,2,55,18,2.7,0.9,0.4,6.9,0.016,0.1,0.188,0.486,0.095
Jaylen Brown,BOS,25,6-Jun,78,223,California,USA,2016,1,3,46,23.7,6.5,3.3,8.6,0.023,0.15,0.299,0.566,0.165
Jaylen Hoard,OKC,22,8-Jun,80,216,Wake Forest,France,Undrafted,Undrafted,Undrafted,1,0,2,0,-100,0.25,0.2,0.2,0,0
Jaylen Morris,SAS,26,5-Jun,77,185,Molloy,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.7,0.7,22.9,0,0.118,0.231,0.129,0.143
Jaylen Nowell,MIN,22,4-Jun,76,201,Washington,USA,2019,2,43,42,7.7,2,2.1,-1,0.023,0.105,0.207,0.56,0.215
Jaysean Paige,DET,27,2-Jun,74,200,West Virginia,USA,Undrafted,Undrafted,Undrafted,1,0,1,1,-69.6,0,0.091,0.211,0,0.333
Jayson Tatum,BOS,23,8-Jun,80,210,Duke,USA,2017,1,3,56,25.7,8.4,4.2,9.6,0.033,0.186,0.311,0.553,0.196
Jeff Dowtin,MIL,24,3-Jun,75,177,Rhode Island,USA,Undrafted,Undrafted,Undrafted,5,1.2,1.4,0.6,17.1,0.034,0.167,0.108,0.429,0.136
Jeff Green,DEN,35,8-Jun,80,235,Georgetown,USA,2007,1,5,54,10.4,3.1,1.2,1.1,0.023,0.103,0.165,0.614,0.072
Jemerrio Jones,LAL,26,5-Jun,77,175,New Mexico State,USA,2018,,,2,2,1.5,0,-38,0.118,0.056,0.083,0.667,0
Jerami Grant,DET,27,8-Jun,80,210,Syracuse,USA,2014,2,39,33,19,4.3,2.5,-11.4,0.019,0.112,0.254,0.541,0.142
Jeremiah Robinson-Earl,OKC,21,8-Jun,80,242,Villanova,USA,2021,2,32,44,7.1,5.8,1,-10.4,0.062,0.17,0.146,0.506,0.066
Jeremy Lamb,SAC,29,5-Jun,77,180,Connecticut,USA,2012,1,12,40,7.3,2.5,1.4,4.1,0.022,0.127,0.188,0.526,0.12
Jericho Sims,NYK,23,9-Jun,81,250,Texas-Austin,USA,2021,2,58,18,1.1,1.5,0.1,-8.3,0.081,0.123,0.054,0.745,0.014
Jevon Carter,BKN,26,1-Jun,73,200,West Virginia,USA,2018,2,32,46,3.6,1.5,1,-3.5,0.015,0.095,0.154,0.462,0.123
Jimmy Butler,MIA,32,7-Jun,79,230,Marquette,USA,2011,1,30,40,21.8,6.4,6,6.9,0.057,0.134,0.26,0.59,0.29
Jock Landale,SAS,26,11-Jun,83,255,None,Australia,Undrafted,Undrafted,Undrafted,36,4.6,2.2,0.9,0,0.095,0.1,0.176,0.596,0.128
Joe Harris,BKN,30,6-Jun,78,220,Virginia,USA,2014,2,33,14,11.3,4,1,1.1,0.012,0.109,0.146,0.624,0.047
Joe Ingles,POR,34,8-Jun,80,220,None,Australia,Undrafted,Undrafted,Undrafted,45,7.2,2.9,3.5,8.2,0.01,0.099,0.129,0.551,0.195
Joe Johnson,BOS,40,7-Jun,79,240,Arkansas,USA,2001,1,10,1,2,0,0,-100,0,0,0.2,1,0
Joe Wieskamp,SAS,22,6-Jun,78,205,Iowa,USA,2021,2,41,15,2.5,0.5,0.3,-2.6,0.027,0.052,0.143,0.595,0.091
Joel Ayayi,WAS,21,4-Jun,76,180,Gonzaga,France,Undrafted,Undrafted,Undrafted,7,0.3,0.4,0.6,12.2,0.037,0.105,0.133,0.167,0.364
Joel Embiid,PHI,27,Jul-00,84,280,Kansas,Cameroon,2014,1,3,46,29.6,11.2,4.5,7,0.064,0.268,0.377,0.61,0.261
John Collins,ATL,24,9-Jun,81,226,Wake Forest,USA,2017,1,19,50,16.8,7.9,1.9,0.6,0.057,0.188,0.201,0.621,0.09
John Konchar,MEM,25,5-Jun,77,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,52,4.8,4.4,1.4,2,0.054,0.172,0.095,0.607,0.099
Jon Teske,MEM,24,1-Jul,85,265,Michigan,USA,Undrafted,Undrafted,Undrafted,3,0,0.7,0.3,-7.1,0,0.286,0.1,0,0.167
Jonas Valanciunas,NOP,29,11-Jun,83,265,None,Lithuania,2011,1,5,53,18,11.5,2.6,-0.3,0.101,0.265,0.236,0.617,0.137
Jonathan Kuminga,GSW,19,7-Jun,79,225,None,DRC,2021,1,7,47,8,2.8,0.7,1.8,0.041,0.137,0.227,0.591,0.082
Jordan Bell,CHI,27,7-Jun,79,216,Oregon,USA,2017,2,38,1,0,1,0,25,0.5,0,0,0,0
Jordan Clarkson,UTA,29,4-Jun,76,194,Missouri,USA,2014,2,46,55,15.5,3.3,2.4,8.6,0.028,0.091,0.259,0.522,0.143
Jordan Goodwin,WAS,23,3-Jun,75,200,St. Louis,USA,Undrafted,Undrafted,Undrafted,2,0,0.5,0,-110,0,0.2,0.25,0,0
Jordan McLaughlin,MIN,25,11-May,71,185,Southern California,USA,Undrafted,Undrafted,Undrafted,41,3,1.3,2.8,-2.5,0.016,0.08,0.125,0.457,0.298
Jordan Nwora,MIL,23,8-Jun,80,225,Louisville,USA,2020,2,45,46,8.3,3.7,1,-4.6,0.032,0.142,0.189,0.513,0.077
Jordan Poole,GSW,22,4-Jun,76,194,Michigan,USA,2019,1,28,53,16.4,3.1,3.5,7.4,0.016,0.088,0.239,0.581,0.187
Jordan Schakel,WAS,23,6-Jun,78,200,San Diego State,USA,Undrafted,Undrafted,Undrafted,2,0,1.5,0,21.9,0.125,0.083,0.182,0,0
Jose Alvarado,NOP,23,Jun-00,72,179,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,31,5.1,1.5,2,7.8,0.022,0.094,0.176,0.517,0.233
Josh Christopher,HOU,20,3-Jun,75,215,Arizona State,USA,2021,1,24,50,7.4,2.1,1.7,-10.1,0.042,0.092,0.203,0.546,0.161
Josh Giddey,OKC,19,8-Jun,80,205,None,Australia,2021,1,6,53,12.4,7.8,6.4,-8,0.052,0.175,0.218,0.478,0.328
Josh Green,DAL,21,5-Jun,77,200,Arizona,Australia,2020,1,18,44,4.4,2.2,1.3,6.6,0.049,0.1,0.127,0.566,0.128
Josh Hart,POR,26,5-Jun,77,215,Villanova,USA,2017,1,30,44,14.1,7.6,4.1,-1.9,0.037,0.186,0.171,0.618,0.182
Josh Jackson,SAC,25,8-Jun,80,207,Kansas,USA,2017,1,4,40,6.9,3.1,1.2,-9.4,0.023,0.153,0.19,0.497,0.11
Josh Okogie,MIN,23,4-Jun,76,213,Georgia Tech,Nigeria,2018,1,20,33,2.6,1.8,0.5,-0.4,0.051,0.082,0.105,0.466,0.06
Josh Richardson,SAS,28,5-Jun,77,200,Tennessee,USA,2015,2,40,45,9.6,2.8,1.5,4.1,0.024,0.087,0.163,0.568,0.094
Joshua Primo,SAS,19,4-Jun,76,189,Alabama,Canada,2021,1,12,30,4.9,1.7,1.4,-2.6,0.035,0.066,0.158,0.484,0.117
Jrue Holiday,MIL,31,3-Jun,75,205,UCLA,USA,2009,1,17,47,18.1,4.6,6.6,8.4,0.029,0.103,0.23,0.593,0.291
Juan Toscano-Anderson,GSW,28,6-Jun,78,209,Marquette,USA,Undrafted,Undrafted,Undrafted,56,4.5,2.6,1.9,2.6,0.034,0.143,0.153,0.559,0.189
Juancho Hernangomez,UTA,26,9-Jun,81,214,None,Spain,2016,1,15,25,1.2,1.6,0.2,-10.2,0.078,0.163,0.131,0.365,0.056
Julius Randle,NYK,27,8-Jun,80,250,Kentucky,USA,2014,1,7,57,19.8,10.2,5.2,-5.4,0.047,0.227,0.272,0.516,0.253
Justin Anderson,IND,28,5-Jun,77,231,Virginia,USA,2015,1,21,6,3.5,1.7,1.5,27.8,0.026,0.093,0.134,0.476,0.13
Justin Champagnie,TOR,20,6-Jun,78,206,Pittsburgh,USA,Undrafted,Undrafted,Undrafted,31,2.5,2.1,0.3,8.6,0.122,0.112,0.11,0.594,0.047
Justin Holiday,SAC,32,6-Jun,78,180,Washington,USA,Undrafted,Undrafted,Undrafted,53,11,2.7,1.9,-3.2,0.014,0.079,0.157,0.562,0.089
Justin Jackson,PHX,26,8-Jun,80,220,North Carolina,USA,2017,1,15,7,2.1,1,0.3,-15.6,0.019,0.167,0.177,0.472,0.125
Justin Robinson,DET,24,1-Jun,73,195,Virginia Tech,USA,2019,,,25,3.1,0.8,1.3,-17.5,0.011,0.051,0.153,0.404,0.175
Justise Winslow,POR,25,6-Jun,78,222,Duke,USA,2015,1,10,43,5.3,4.1,1.7,3.3,0.056,0.181,0.17,0.501,0.156
Jusuf Nurkic,POR,27,11-Jun,83,290,None,Bosnia and Herzegovina,2014,1,16,56,15,11.1,2.8,-0.1,0.101,0.283,0.233,0.586,0.16
Juwan Morgan,TOR,24,7-Jun,79,232,Indiana,USA,Undrafted,Undrafted,Undrafted,1,5,4,1,-43.1,0.065,0.071,0.045,0.833,0.059
KZ Okpala,MIA,22,8-Jun,80,215,Stanford,USA,2019,2,32,21,3.7,2,0.7,2.7,0.044,0.118,0.141,0.521,0.082
Kai Jones,CHA,21,10-Jun,82,221,Texas-Austin,Bahamas,2021,1,19,17,0.9,0.5,0.2,-12.6,0.045,0.12,0.154,0.627,0.138
Karl-Anthony Towns,MIN,26,11-Jun,83,248,Kentucky,USA,2015,1,1,52,24.4,9.7,4,4.5,0.076,0.197,0.268,0.633,0.191
Keifer Sykes,IND,28,11-May,71,167,Wisconsin-Green Bay,USA,Undrafted,Undrafted,Undrafted,20,6.5,1.8,2.2,-5.7,0.017,0.081,0.185,0.457,0.176
Keita Bates-Diop,SAS,26,8-Jun,80,229,Ohio State,USA,2018,2,48,45,5.3,3.9,0.6,2.7,0.058,0.16,0.138,0.563,0.05
Kelan Martin,IND,26,5-Jun,77,230,Butler,USA,Undrafted,Undrafted,Undrafted,27,6.3,2,0.8,-5.2,0.034,0.085,0.18,0.492,0.072
Keldon Johnson,SAS,22,6-Jun,78,220,Kentucky,USA,2019,1,29,55,15.7,6,1.8,1.5,0.031,0.146,0.2,0.571,0.08
Keljin Blevins,POR,26,4-Jun,76,200,Montana State,USA,2019,,,12,2,0.7,0.3,-28.9,0.027,0.078,0.171,0.503,0.093
Kelly Olynyk,DET,30,11-Jun,83,240,Gonzaga,Canada,2013,1,13,21,9.7,4.9,2.8,-11.2,0.072,0.181,0.233,0.499,0.212
Kelly Oubre Jr.,CHA,26,6-Jun,78,203,Kansas,USA,2015,1,15,54,16.2,4.1,1.1,-0.5,0.038,0.098,0.227,0.553,0.061
Kemba Walker,NYK,31,Jun-00,72,184,Connecticut,USA,2011,1,9,37,11.6,3,3.5,-9.1,0.014,0.099,0.202,0.537,0.22
Kenrich Williams,OKC,27,6-Jun,78,210,TCU,USA,Undrafted,Undrafted,Undrafted,49,7.4,4.5,2.2,1.7,0.062,0.123,0.153,0.532,0.159
Kent Bazemore,LAL,32,4-Jun,76,195,Old Dominion,USA,Undrafted,Undrafted,Undrafted,32,3.7,1.7,0.9,-7.9,0.019,0.091,0.124,0.455,0.085
Kentavious Caldwell-Pope,WAS,29,5-Jun,77,204,Georgia,USA,2013,1,8,55,11.6,3.4,1.7,-5.7,0.017,0.097,0.176,0.536,0.083
Kenyon Martin Jr.,HOU,21,5-Jun,77,215,None,USA,2020,2,52,55,8.6,3.9,1.3,-6.7,0.055,0.139,0.167,0.586,0.101
Keon Johnson,POR,19,4-Jun,76,185,Tennessee,USA,2021,1,21,15,3.5,1.4,0.9,-0.9,0.039,0.102,0.202,0.44,0.143
Kessler Edwards,BKN,21,7-Jun,79,203,Pepperdine,USA,2021,2,44,28,6.4,4.3,0.6,-5.1,0.039,0.13,0.128,0.488,0.034
Kevin Durant,BKN,33,10-Jun,82,240,Texas-Austin,USA,2007,1,2,36,29.3,7.4,5.8,4.5,0.016,0.168,0.31,0.626,0.266
Kevin Huerter,ATL,23,7-Jun,79,198,Maryland,USA,2018,1,19,51,11.6,3.2,2.8,3.9,0.015,0.09,0.167,0.571,0.131
Kevin Knox II,ATL,22,7-Jun,79,215,Kentucky,USA,2018,1,9,21,3,1.7,0.4,-14.5,0.058,0.13,0.183,0.469,0.086
